id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
V6ToEastH6.77,924.0,468_0,4.6,0.0,0.0,1060.0,522_1,56.88,11.5,136.0,1507.63,0.0,0,0.0,13.38,0,tripinfo_V6ToEastH6.77 emissions_V6ToEastH6.77,electric,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToEastH6.11,399.0,773_0,5.1,0.0,3.0,1062.0,522_1,56.88,11.27,663.0,3657.63,282.0,10,0.0,367.46,0,tripinfo_WestA509ToEastH6.11 emissions_WestA509ToEastH6.11,gasoline_euro4,0.9,62590.387207,1706909.643547,323.982483,33.485878,718.317242,544445.115386,0.0
WestA509ToEastH6.12,435.0,773_0,4.6,0.0,3.0,1064.0,522_1,56.88,11.62,629.0,3658.15,246.0,10,0.0,343.35,0,tripinfo_WestA509ToEastH6.12 emissions_WestA509ToEastH6.12,electric,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.31,558.0,526_0,4.6,0.0,0.0,1068.0,215_1,19.43,17.9,510.0,2705.6,263.0,11,0.0,356.76,0,tripinfo_SouthEvansGateToSilbury.31 emissions_SouthEvansGateToSilbury.31,electric,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.78,936.0,468_0,4.6,0.0,0.0,1068.0,522_1,56.88,11.69,132.0,1507.63,0.0,0,0.0,13.76,0,tripinfo_V6ToEastH6.78 emissions_V6ToEastH6.78,electric,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.30,540.0,526_0,5.1,0.0,0.0,1070.0,215_0,19.43,13.5,530.0,2705.15,251.0,9,0.0,325.03,0,tripinfo_SouthEvansGateToSilbury.30 emissions_SouthEvansGateToSilbury.30,gasoline_euro4,0.97,54499.956321,1441038.391311,281.17315,29.408063,613.800704,459641.083587,0.0
V6ToEastH6.79,948.0,468_0,4.6,0.0,0.0,1070.0,522_1,56.88,13.92,122.0,1507.63,0.0,0,0.0,18.62,0,tripinfo_V6ToEastH6.79 emissions_V6ToEastH6.79,electric,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastSilburyToEastAvebury.3,448.0,317_0,4.6,0.0,0.0,1071.0,213_1,19.13,11.5,623.0,2987.52,291.0,12,0.0,373.92,0,tripinfo_EastSilburyToEastAvebury.3 emissions_EastSilburyToEastAvebury.3,electric,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastA509ToH6.32,576.0,770_0,4.6,0.0,0.0,1071.0,522_1,56.88,15.51,495.0,3285.8,210.0,6,0.0,283.39,0,tripinfo_EastA509ToH6.32 emissions_EastA509ToH6.32,electric,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastSilburyToEastAvebury.2,432.0,317_0,4.6,0.0,0.0,1072.0,213_0,19.13,12.04,640.0,2992.72,307.0,12,0.0,394.7,0,tripinfo_EastSilburyToEastAvebury.2 emissions_EastSilburyToEastAvebury.2,electric,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
